video_name,url,t1_start,t1_cut_duration,t2_start,t2_cut_duration,t3_start,t3_cut_duration,t4_start,t4_cut_duration
1.mp4,https://www.youtube.com/watch?v=M2etOt3qJ9c,00:00:31,00:00:12,00:00:57,00:00:34,100:01:04,20:01:29,0:02:00,0:01:40
2.mp4,https://www.youtube.com/watch?v=E18RC2Xrqv8,00:00:05,00:00:23,00:00:35,00:00:05,0:00:48,0:00:27,0:01:25,0:00:25
3.mp4,https://www.youtube.com/watch?v=Ly-nBsJbc30,00:00:05,00:00:45,,0,,0,,0
4.mp4,https://www.youtube.com/watch?v=VXWnbI28Oq0,00:00:17,00:00:08,00:00:29,00:00:06,0:00:48,0:00:35,0:01:37,0:00:21
5.mp4,https://www.youtube.com/watch?v=bW1weVTSgvI,00:00:02,00:00:18,00:01:10,00:00:37,0:02:00,0:00:40,0:02:55,0:01:00
6.mp4,https://www.youtube.com/watch?v=iNNud_z8-3k,00:00:03,00:01:47,,0,,0,,
7.mp4,https://www.youtube.com/watch?v=bYvuMdCNbyA,00:00:02,00:00:55,,0,,0,,
8.mp4,https://www.youtube.com/watch?v=cgjsaDv5UF0,00:01:00,00:02:45,00:04:00,00:00:30,0:04:48,0:03:12,,
9.mp4,https://www.youtube.com/watch?v=H_2D5rKwj8I,00:00:02,00:02:47,,0,,,,
10.mp4,https://www.youtube.com/watch?v=lAWWqrLfdPI,00:01:02,00:00:43,00:03:00,00:04:00,,,,
11.mp4,https://www.youtube.com/watch?v=GTQPI8srW9Q,00:00:03,00:01:07,,0,,,,
12.mp4,https://www.youtube.com/watch?v=hQ9LcqpERB0,00:01:25,00:00:30,00:06:00,00:02:41,,,,
13.mp4,https://www.youtube.com/watch?v=Ss7HavJxpfg,00:00:01,00:00:40,,0,,,,
14.mp4,https://www.youtube.com/watch?v=MHZF9uL2MGI,00:04:49,00:00:57,00:06:30,00:05:09,,,,
15.mp4,https://www.youtube.com/watch?v=ka24vEjS2Rg,00:01:03,00:03:31,,0,,,,
16.mp4,https://www.youtube.com/watch?v=pBjj7TDkRcM,00:00:00,00:01:00,00:00:01,00:02:18,,,,
17.mp4,https://www.youtube.com/watch?v=ChgxvcgruLY,00:00:00,00:01:10,,0,,,,
18.mp4,https://www.youtube.com/watch?v=V2JWUrCwqdw,00:00:02,00:00:40,,0,,,,
19.mp4,https://www.youtube.com/watch?v=q67igkkUTHM,00:02:30,00:02:57,,0,,,,
20.mp4,https://www.youtube.com/watch?v=5TONnPbRc1k,00:00:00,00:00:18,,0,,,,
21.mp4,https://www.youtube.com/watch?v=lR5hVZWOK9c,00:00:20,00:00:45,,0,,,,
22.mp4,https://www.youtube.com/watch?v=08ioo_HHL9M,00:00:00,00:02:26,,0,,,,
23.mp4,https://www.youtube.com/watch?v=9Bz5o8usWQQ,00:00:04,00:01:04,,0,,,,
24.mp4,https://www.youtube.com/watch?v=CTu5IXzrAqk,00:00:13,00:07:04,,0,,,,
25.mp4,www.youtube.com/watch?v=XMMXsWWNn-s,00:00:25,00:00:19,,0,,,,
26.mp4,https://www.youtube.com/watch?v=VqVObmS_GOE,00:00:16,00:00:15,,0,,,,
27.mp4,https://www.youtube.com/watch?v=RSaXCvYNq58,00:00:05,00:02:25,,,,,,
28.mp4,https://www.youtube.com/watch?v=jqaAToQu1kE,00:00:10,00:04:50,,,,,,
29.mp4,https://www.youtube.com/watch?v=PkAK2QxEMYc,00:00:25,00:06:29,,,,,,
30.mp4,https://www.youtube.com/watch?v=WdjAiYGH1vo,00:00:05,00:05:13,,,,,,
31.mp4,https://www.youtube.com/watch?v=eyRwM2WJm6I,00:00:00,00:05:24,,,,,,
